TRAWL,WATERWAY,DATE,MONTH,YEAR,SEASON,RAINFALL 48,Organic mass (g),Microplastic mass (g),TOTALMASS,PC.Microplastics,CATEGORY,SUBCATEGORY,MICROPLASTIC,COUNT
1,Maribyrnong,7/1/2015,Jan,2015,Summer,0,,0.455,,,Hard plastic fragments,Hard plastic fragments <2mm,Microplastics,36
1,Maribyrnong,7/1/2015,Jan,2015,Summer,0,,0.455,,,Hard plastic fragments,Hard plastic fragments 2-5mm,Microplastics,2
1,Maribyrnong,7/1/2015,Jan,2015,Summer,0,,0.455,,,Hard plastic fragments,Hard plastic fragments 6-10mm,Not considered microplastics,7
1,Maribyrnong,7/1/2015,Jan,2015,Summer,0,,0.455,,,Hard plastic fragments,Hard plastic fragments 10+mm,Not considered microplastics,1
1,Maribyrnong,7/1/2015,Jan,2015,Summer,0,,0.455,,,Nurdles,Nurdles,Microplastics,2
1,Maribyrnong,7/1/2015,Jan,2015,Summer,0,,0.455,,,Polystyrene,Polystyrene <4mm,Microplastics,6
1,Maribyrnong,7/1/2015,Jan,2015,Summer,0,,0.455,,,Polystyrene,Polystyrene 4+mm,Not considered microplastics,24
1,Maribyrnong,7/1/2015,Jan,2015,Summer,0,,0.455,,,Plastic Bottle Caps,Plastic Bottle Caps,Not considered microplastics,0
1,Maribyrnong,7/1/2015,Jan,2015,Summer,0,,0.455,,,Plastic Straws,Plastic Straws,Not considered microplastics,0
1,Maribyrnong,7/1/2015,Jan,2015,Summer,0,,0.455,,,Soft Plastics,Soft Plastics <5mm,Microplastics,
1,Maribyrnong,7/1/2015,Jan,2015,Summer,0,,0.455,,,Soft Plastics,Soft Plastics 5+mm,Not considered microplastics,0
1,Maribyrnong,7/1/2015,Jan,2015,Summer,0,,0.455,,,Soft Plastics,Lolly Wrappers,Not considered microplastics,0
1,Maribyrnong,7/1/2015,Jan,2015,Summer,0,,0.455,,,Soft Plastics,Cellophane,Microplastics,
1,Maribyrnong,7/1/2015,Jan,2015,Summer,0,,0.455,,,Soft Plastics,Cellophane,Not considered microplastics,0
1,Maribyrnong,7/1/2015,Jan,2015,Summer,0,,0.455,,,Other,Sponge,Not considered microplastics,0
1,Maribyrnong,7/1/2015,Jan,2015,Summer,0,,0.455,,,Other,Twine,Not considered microplastics,0
1,Maribyrnong,7/1/2015,Jan,2015,Summer,0,,0.455,,,Other,Cigarette butts,Not considered microplastics,0
1,Maribyrnong,7/1/2015,Jan,2015,Summer,0,,0.455,,,Other,Other,Not considered microplastics,0
1,Yarra,7/1/2015,Jan,2015,Summer,0,,0.258,,,Hard plastic fragments,Hard plastic fragments <2mm,Microplastics,60
1,Yarra,7/1/2015,Jan,2015,Summer,0,,0.258,,,Hard plastic fragments,Hard plastic fragments 2-5mm,Microplastics,11
1,Yarra,7/1/2015,Jan,2015,Summer,0,,0.258,,,Hard plastic fragments,Hard plastic fragments 6-10mm,Not considered microplastics,8
1,Yarra,7/1/2015,Jan,2015,Summer,0,,0.258,,,Hard plastic fragments,Hard plastic fragments 10+mm,Not considered microplastics,2
1,Yarra,7/1/2015,Jan,2015,Summer,0,,0.258,,,Nurdles,Nurdles,Microplastics,0
1,Yarra,7/1/2015,Jan,2015,Summer,0,,0.258,,,Polystyrene,Polystyrene <4mm,Microplastics,2
1,Yarra,7/1/2015,Jan,2015,Summer,0,,0.258,,,Polystyrene,Polystyrene 4+mm,Not considered microplastics,18
1,Yarra,7/1/2015,Jan,2015,Summer,0,,0.258,,,Plastic Bottle Caps,Plastic Bottle Caps,Not considered microplastics,0
1,Yarra,7/1/2015,Jan,2015,Summer,0,,0.258,,,Plastic Straws,Plastic Straws,Not considered microplastics,0
1,Yarra,7/1/2015,Jan,2015,Summer,0,,0.258,,,Soft Plastics,Soft Plastics <5mm,Microplastics,
1,Yarra,7/1/2015,Jan,2015,Summer,0,,0.258,,,Soft Plastics,Soft Plastics 5+mm,Not considered microplastics,0
1,Yarra,7/1/2015,Jan,2015,Summer,0,,0.258,,,Soft Plastics,Lolly Wrappers,Not considered microplastics,0
1,Yarra,7/1/2015,Jan,2015,Summer,0,,0.258,,,Soft Plastics,Cellophane,Microplastics,
1,Yarra,7/1/2015,Jan,2015,Summer,0,,0.258,,,Soft Plastics,Cellophane,Not considered microplastics,0
1,Yarra,7/1/2015,Jan,2015,Summer,0,,0.258,,,Other,Sponge,Not considered microplastics,0
1,Yarra,7/1/2015,Jan,2015,Summer,0,,0.258,,,Other,Twine,Not considered microplastics,0
1,Yarra,7/1/2015,Jan,2015,Summer,0,,0.258,,,Other,Cigarette butts,Not considered microplastics,0
1,Yarra,7/1/2015,Jan,2015,Summer,0,,0.258,,,Other,Other,Not considered microplastics,0
2,Maribyrnong,13/2/2015,Feb,2015,Summer,0,,0.108,,,Hard plastic fragments,Hard plastic fragments <2mm,Microplastics,30
2,Maribyrnong,13/2/2015,Feb,2015,Summer,0,,0.108,,,Hard plastic fragments,Hard plastic fragments 2-5mm,Microplastics,14
2,Maribyrnong,13/2/2015,Feb,2015,Summer,0,,0.108,,,Hard plastic fragments,Hard plastic fragments 6-10mm,Not considered microplastics,0
2,Maribyrnong,13/2/2015,Feb,2015,Summer,0,,0.108,,,Hard plastic fragments,Hard plastic fragments 10+mm,Not considered microplastics,1
2,Maribyrnong,13/2/2015,Feb,2015,Summer,0,,0.108,,,Nurdles,Nurdles,Microplastics,0
2,Maribyrnong,13/2/2015,Feb,2015,Summer,0,,0.108,,,Polystyrene,Polystyrene <4mm,Microplastics,4
2,Maribyrnong,13/2/2015,Feb,2015,Summer,0,,0.108,,,Polystyrene,Polystyrene 4+mm,Not considered microplastics,1
2,Maribyrnong,13/2/2015,Feb,2015,Summer,0,,0.108,,,Plastic Bottle Caps,Plastic Bottle Caps,Not considered microplastics,0
2,Maribyrnong,13/2/2015,Feb,2015,Summer,0,,0.108,,,Plastic Straws,Plastic Straws,Not considered microplastics,0
2,Maribyrnong,13/2/2015,Feb,2015,Summer,0,,0.108,,,Soft Plastics,Soft Plastics <5mm,Microplastics,
2,Maribyrnong,13/2/2015,Feb,2015,Summer,0,,0.108,,,Soft Plastics,Soft Plastics 5+mm,Not considered microplastics,11
2,Maribyrnong,13/2/2015,Feb,2015,Summer,0,,0.108,,,Soft Plastics,Lolly Wrappers,Not considered microplastics,0
2,Maribyrnong,13/2/2015,Feb,2015,Summer,0,,0.108,,,Soft Plastics,Cellophane,Microplastics,
2,Maribyrnong,13/2/2015,Feb,2015,Summer,0,,0.108,,,Soft Plastics,Cellophane,Not considered microplastics,0
2,Maribyrnong,13/2/2015,Feb,2015,Summer,0,,0.108,,,Other,Sponge,Not considered microplastics,0
2,Maribyrnong,13/2/2015,Feb,2015,Summer,0,,0.108,,,Other,Twine,Not considered microplastics,0
2,Maribyrnong,13/2/2015,Feb,2015,Summer,0,,0.108,,,Other,Cigarette butts,Not considered microplastics,0
2,Maribyrnong,13/2/2015,Feb,2015,Summer,0,,0.108,,,Other,Other,Not considered microplastics,0
2,Yarra,13/2/2015,Feb,2015,Summer,0,,0.334,,,Hard plastic fragments,Hard plastic fragments <2mm,Microplastics,30
2,Yarra,13/2/2015,Feb,2015,Summer,0,,0.334,,,Hard plastic fragments,Hard plastic fragments 2-5mm,Microplastics,10
2,Yarra,13/2/2015,Feb,2015,Summer,0,,0.334,,,Hard plastic fragments,Hard plastic fragments 6-10mm,Not considered microplastics,1
2,Yarra,13/2/2015,Feb,2015,Summer,0,,0.334,,,Hard plastic fragments,Hard plastic fragments 10+mm,Not considered microplastics,0
2,Yarra,13/2/2015,Feb,2015,Summer,0,,0.334,,,Nurdles,Nurdles,Microplastics,1
2,Yarra,13/2/2015,Feb,2015,Summer,0,,0.334,,,Polystyrene,Polystyrene <4mm,Microplastics,9
